country,exchange,lei,isin,ticker,fiscal_year,report_type,language,pdf_url,source_page,verified
USA,XNAS,INR2EJN1ERAN0W5ZP974,US5949181045,MSFT,FY2019,SR,EN,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/Microsoft-2019-CSR-Annual-Report-0.pdf,https://www.microsoft.com/en-us/corporate-responsibility/reports-hub,true
USA,XNYS,UWJKFUJFZ02DKWI3RY53,US1912161007,KO,FY2018,IR,EN,https://www.coca-colacompany.com/content/dam/company/us/en/reports/pdf/coca-cola-business-and-sustainability-report-2018.pdf,https://www.coca-colacompany.com/policies-and-practices/sustainability,true
USA,XNYS,UWJKFUJFZ02DKWI3RY53,US1912161007,KO,FY2022,IR,EN,https://www.coca-colacompany.com/content/dam/corporate/us/en/reports/coca-cola-business-sustainability-report-2022.pdf,https://www.coca-colacompany.com/policies-and-practices/sustainability,true
USA,XNYS,UWJKFUJFZ02DKWI3RY53,US1912161007,KO,FY2023,CLIMATE,EN,https://www.coca-colacompany.com/content/dam/corporate/us/en/reports/2023-environmental-update/2023-environmental-update.pdf,https://www.coca-colacompany.com/policies-and-practices/sustainability,true
USA,XNYS,UWJKFUJFZ02DKWI3RY53,US1912161007,KO,FY2024,CLIMATE,EN,https://www.coca-colacompany.com/content/dam/corporate/us/en/reports/2024-environmental-update/2024-environmental-update.pdf,https://www.coca-colacompany.com/policies-and-practices/sustainability,true
